brand,3D,4D,IMAX
CGV 대연,4,0,0
CGV 광주금남로,2,0,0
CGV 센텀시티,4,1,0
CGV 상봉,3,1,0
CGV 김포,0,0,0
CINE de CHEF 용산아이파크몰,2,0,0
메가박스 백석,3,0,0
CGV 동탄역,2,1,0
정남진시네마,1,0,0
롯데시네마 영주,2,0,0
씨네큐 천안불당,0,0,0
CGV 광양엘에프스퀘어,2,0,0
CGV 충주교현,1,0,0
CGV 경산,0,0,0
CGV 인제,0,0,0
CGV 광교,2,1,1
CGV 광주첨단,3,1,0
CGV 대구월성,3,0,0
CGV 청주성안길,0,0,0
CGV 청주지웰시티,3,1,0
CGV 홍성,2,0,0
CGV 천안펜타포트,5,1,0
CGV 천안,4,0,0
CGV 논산,1,0,0
CGV 제주노형,2,0,0
CGV 제주,3,1,0
CGV 전주효자,4,0,1
CGV서전주,2,0,0
CGV 목포,1,0,0
CGV 나주,0,0,0
CGV 광양,2,0,0
CGV 청라,1,0,0
롯데시네마 중랑,1,0,0
롯데시네마 원주무실,2,0,0
CGV 주안역,4,0,0
CGV 인천학익,1,0,0
CGV 울산진장,3,0,0
CGV 울산신천,2,0,0
CGV 울산삼산,7,1,1
롯데시네마 상인,2,0,0
CGV 왕십리,9,1,1
CGV 중계,3,1,0
CINE de CHEF 센텀,2,0,0
CGV 강남,4,0,0
CGV 아시아드,4,1,0
CGV 하단아트몰링,1,0,0
CGV 동래,3,0,0
CGV 대전,7,1,1
CGV 대전가수원,1,0,0
CGV 대전터미널,2,1,0
CGV 대구한일,2,0,0
CGV 대구스타디움,6,1,0
CGV 대구칠곡,2,0,0
CGV 광주충장로,0,0,0
CGV 창원더시티,2,0,1
CGV 창원,2,1,0
CGV 창원상남,1,0,0
CGV 양산삼호,0,0,0
CGV 거제,1,0,0
CGV 동탄호수공원,3,0,0
롯데시네마 대전센트럴,3,0,0
롯데시네마 도곡,2,0,0
CGV 스타필드시티위례,2,0,0
CGV 포천,1,0,0
CGV 파주야당,1,0,0
CGV 이천,4,0,0
CGV 의정부,4,0,1
CGV 오산중앙,1,0,0
CGV 양주옥정,3,0,0
CGV 배곧,1,0,0
CGV 시흥,2,0,0
CGV 수원,5,1,1
CGV 동수원,4,1,0
CGV 야탑,5,0,0
CGV 김포한강,1,0,0
CGV 일산,6,1,1
CGV 고양행신,1,0,0
칠곡호이영화관(씨네Q),1,0,0
안동중앙시네마,0,0,0
양양 작은영화관,1,0,0
태안시네마,1,0,0
CGV 의정부태흥,2,0,0
메가박스 강남대로(씨티),2,0,0
CGV 하남미사,0,0,0
헤이리시네마,0,0,0
에무 시네마 앤 카페,0,0,0
더숲 아트시네마,0,0,0
메가박스 홍성내포,1,0,0
메가박스 속초,2,0,0
CGV 김해장유,1,0,0
CGV 구미,4,0,0
CGV 안동,2,0,0
CGV 김천율곡,1,0,0
롯데시네마 프리미엄 경남대,2,0,0
메가박스송파파크하비오,1,0,0
롯데시네마 병점,2,0,0
롯데시네마 부천(신중동역),3,0,0
롯데시네마 대전둔산(월평동),3,0,0
롯데시네마 광주(백화점)_Charlotte관,0,0,0
롯데시네마 광주(백화점),3,0,0
롯데시네마 영종하늘도시,0,0,0
롯데시네마 프리미엄칠곡,3,0,0
롯데시네마 대구광장,2,0,0
롯데시네마 동성로_Charlotte관,1,0,0
CGV 여수웅천,2,0,0
롯데시네마 동부산(아울렛),2,0,0
CGV 군산,2,0,0
인디플러스 포항,0,0,0
CGV 보령,1,0,0
롯데시네마 브로드웨이(신사),2,0,0
롯데시네마 독산,3,0,0
CGV 청주율량,3,0,0
CGV 용인,3,0,0
CGV 오산,2,0,0
CGV 부천,4,1,0
CGV 세종,3,0,0
CGV 대전가오,3,0,0
홍천시네마,1,0,0
CGV 불광,3,0,0
현대예술관시네마,0,0,0
고한 시네마,1,0,0
아리아리 정선시네마,1,0,0
전주디지털독립영화관,0,0,0
청양 시네마,1,0,0
화천 작은영화관,1,0,0
롯데시네마 거창,0,0,0
씨네큐 구미봉곡,1,0,0
씨네큐 경주보문,2,0,0
한림 작은영화관,0,0,0
롯데시네마 마산(합성동),1,0,0
CGV 성남모란,0,0,0
CGV 정관,1,0,0
CGV 화성봉담,0,0,0
CGV 부평,2,0,0
메가박스 원주,3,0,0
CGV 홍대,3,0,0
CGV 대전탄방,3,0,0
씨네큐브광화문(서울),0,0,0
CGV 충북혁신,1,0,0
CGV 광교상현,1,0,0
아트나인,1,0,0
롯데시네마 익산모현,1,0,0
CGV 당진,2,0,0
CGV 순천,4,0,0
CGV 목포평화광장,2,0,0
CGV 유성노은,2,0,0
CGV 광주용봉,2,0,0
CGV 마산,4,0,0
CGV 평택소사,3,0,0
CGV 서현,2,0,0
CGV 구리,3,0,0
광주독립영화관,0,0,0
씨네아트 리좀,0,0,0
메가박스 오창,2,0,0
메가박스 영종,0,0,0
메가박스 마곡,0,0,0
메가박스 정관,1,0,0
메가박스 별내,0,0,0
롯데시네마 청량리,4,1,0
롯데시네마 진해,2,0,0
롯데시네마 진주혁신,2,0,0
롯데시네마 진접,2,0,0
롯데시네마 전주평화,3,0,0
롯데시네마 인천아시아드,2,0,0
메가박스 군자,0,0,0
롯데시네마 의정부민락,2,0,0
롯데시네마 안양일번가,2,0,0
롯데시네마 아산터미널,2,0,0
롯데시네마 성서,6,0,0
롯데시네마 동성로,4,0,0
롯데시네마 용인기흥,2,0,0
롯데시네마 군산몰,2,0,0
롯데시네마 광주터미널,2,0,0
메가박스강동,0,0,0
CGV 안성,2,0,0
롯데시네마 김포공항_샤롯데,1,0,0
대구독립영화전용관 오오극장,0,0,0
롯데시네마 서귀포,2,0,0
CGV 경기광주,2,0,0
CGV 대구수성,2,0,0
CGV 화정,3,0,0
CGV 파주문산,2,0,0
CGV 김포운양,2,0,0
